"date","Mcomplete","Stdcomplete","Mlast300","Mlast200","Mlast100","MinCompl","Q25Compl","Q50Compl","Q75Compl","MaxCompl"
"39934",2016-08-05 07:51:21,54.3976705490849,5.16913221904295,52.9622641509434,53.5,54.5660377358491,49,52,53,54,74
"40063",2016-08-06 08:16:03,55.6727574750831,3.95240679904583,57.4350649350649,57.5436893203884,58.9803921568627,49,53,55,58,70
"40088",2016-08-07 07:55:59,52.5348837209302,4.32109083755365,54.1898734177215,52.6448598130841,54.4038461538462,45,49,52,55,70
"40346",2016-08-08 08:01:23,52.7229508196721,4.24886320902496,52.0683229813665,52.8962264150943,56.1923076923077,47,50,51,54,69
"40478",2016-08-09 07:01:11,52.8255813953488,4.51558330560622,53.1509433962264,53.8396226415094,56.4423076923077,45,50,52,55,69
"39973",2016-08-10 09:01:10,47.0273752012882,4.18031767228939,45.4736842105263,45.0350877192982,45.719298245614,43,45,46,47,67
"40143",2016-08-11 07:55:58,52.6866666666667,4.1461395310063,54.0696202531646,54.4857142857143,58.0196078431373,45,50,52,55,68
"39964",2016-08-12 08:42:36,50.4817275747508,4.08729597145513,53.2389937106918,51.6666666666667,49.3272727272727,47,48,49,51,69
"39919",2016-08-15 08:37:16,52.5275974025974,3.86889426529412,53.9433962264151,53.6415094339623,53.9811320754717,47,49,52,54,69
"40062",2016-08-17 08:02:04,47.4608985024958,3.87885960792788,48.4518072289157,48.7,49.6909090909091,43,45,46,49,65
"39958",2016-08-18 08:01:22,53.3106312292359,3.60875990060129,55.8709677419355,57.8333333333333,55.5660377358491,48,51,53,54,70
"40459",2016-08-19 07:21:16,50.6022544283414,3.65547685512952,50.5153374233129,50.0825688073394,51.4814814814815,45,48,50,53,67
"39997",2016-08-20 07:46:19,53.7774086378738,4.05293032123801,55,57,55.7735849056604,48,51,53,55,70
"40227",2016-08-21 07:34:14,53.3294701986755,4.58916371460445,54.0062893081761,52.7663551401869,57.3461538461538,45,50,52,56,68
"40061",2016-08-22 07:47:05,52.4759535655058,3.98718906278909,50.8834355828221,49.3,50.8703703703704,46,50,52,54,69
"40328",2016-08-23 06:32:06,48.6705298013245,3.49494670276436,48.8614457831325,49.4454545454545,50.7272727272727,44,46,48,50,69
